,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
4065598,0,1,104.4,0,0,0,81,0,0,0,0.0,1336,squad-fpp,28,0,0.0,0,0.0,0,0,112.6,3,0,0.2222
3074996,0,4,103.3,2,0,4,23,1130,1,1,21.58,1379,squad-fpp,26,0,0.0,0,0.0,0,0,3029.0,2,1489,0.76
3982759,0,0,0.0,0,0,0,59,0,0,0,0.0,1352,squad-fpp,27,0,0.0,0,0.0,0,0,1281.0,4,0,0.4615
1580679,0,5,586.0,0,2,2,5,0,4,1,95.56,1876,solo-fpp,93,0,5694.0,0,0.0,0,0,2896.0,7,0,0.8587
1389408,0,0,0.0,0,0,0,59,0,0,0,0.0,924,crashtpp,37,0,0.0,0,0.0,0,0,664.7,3,0,0.2778
1615815,0,2,128.0,0,0,4,12,0,2,1,14.67,1366,solo-fpp,94,0,0.0,0,0.0,0,0,2969.0,6,0,0.9355
3296387,0,1,46.52,0,0,2,63,1319,0,0,0.0,1856,squad,29,0,4438.0,0,0.0,0,0,857.4,6,1525,0.3571
3461507,0,0,0.0,0,0,0,57,1000,0,0,0.0,1450,squad,27,0,449.5,0,106.9,0,0,1493.0,3,1500,0.6923
4187016,0,1,270.7,1,0,7,29,1000,1,1,7.166,1371,duo-fpp,47,0,0.0,0,0.0,0,0,1056.0,6,1500,0.7174
1703228,2,2,230.5,2,1,3,10,0,3,1,18.22,1436,squad-fpp,31,0,0.0,0,0.0,0,0,1332.0,7,0,0.6333
10918,0,0,0.0,0,0,0,98,0,0,0,0.0,1901,solo-fpp,100,0,0.0,0,0.0,0,0,18.81,1,0,0.0202
938652,0,1,0.0,0,0,1,46,0,0,0,0.0,1540,solo-fpp,96,0,680.3,0,0.0,1,0,943.3,5,0,0.7368
1764205,0,3,100.0,1,0,2,34,0,1,1,31.54,1779,squad-fpp,27,0,0.0,0,0.0,0,0,1308.0,3,0,0.3462
4419189,0,2,157.3,0,0,1,34,1231,1,1,98.05,1807,solo-fpp,95,0,0.0,0,0.0,0,0,1767.0,4,1506,0.7872
3372841,0,2,100.0,0,0,1,29,0,1,1,5.082,1856,solo-fpp,94,0,1137.0,0,0.0,0,0,1287.0,3,0,0.5914
1696536,0,0,131.8,0,0,0,72,0,0,0,0.0,1869,squad-fpp,31,0,0.0,0,0.0,0,0,835.3,2,0,0.3
651631,1,1,171.6,0,0,1,56,0,0,0,0.0,1409,squad-fpp,29,1,0.0,0,0.0,0,0,1632.0,4,0,0.5714
1989523,0,0,0.0,0,0,0,98,1135,0,0,0.0,1958,squad,26,0,0.0,0,0.0,0,0,5.087,0,1445,0.0
3604347,0,0,186.0,1,0,0,69,0,0,0,0.0,1407,duo,49,0,0.0,0,0.0,0,0,73.43,1,0,0.4583
4304925,0,0,0.0,0,0,0,63,1043,0,0,0.0,1360,solo,97,0,0.0,0,0.0,0,0,144.1,5,1504,0.375
1294173,0,0,0.0,0,0,0,80,0,0,0,0.0,1565,solo-fpp,95,0,0.0,0,0.0,0,0,86.45,2,0,0.1702
1722401,0,0,0.0,0,0,0,82,1002,0,0,0.0,1359,duo-fpp,49,0,0.0,0,0.0,0,0,0.2019,1,1490,0.1875
978923,0,0,81.4,0,0,0,96,0,0,0,0.0,1402,duo,50,0,0.0,0,0.0,0,0,119.2,2,0,0.0204
3795230,0,0,89.01,0,0,0,78,1275,0,0,0.0,1434,squad-fpp,30,0,0.0,0,0.0,0,0,207.5,2,1517,0.2069
4017528,0,0,0.0,0,0,0,65,0,0,0,0.0,1868,duo,49,0,0.0,0,0.0,0,0,859.4,3,0,0.4583
2271272,0,0,0.0,0,0,0,69,1340,0,0,0.0,1320,squad-fpp,27,0,0.0,0,0.0,0,0,499.1,2,1585,0.2308
2625016,0,1,50.95,0,0,2,78,0,0,0,0.0,1698,duo-fpp,48,0,0.0,0,0.0,0,0,181.2,2,0,0.1915
1462780,0,0,0.0,0,0,0,82,1170,0,0,0.0,1799,squad,29,0,0.0,0,0.0,0,0,117.5,2,1519,0.1071
2485926,0,1,75.0,1,1,0,37,0,1,1,11.68,1877,squad,30,0,0.0,0,0.0,0,0,341.2,3,0,0.1379
967529,0,4,25.73,0,0,1,43,1203,0,0,0.0,1336,duo-fpp,49,0,0.0,0,0.0,0,0,2512.0,6,1475,0.9167
881384,0,3,0.0,0,0,0,52,0,0,0,0.0,1795,squad,26,0,5401.0,0,0.0,0,0,2869.0,8,0,0.6
1895118,1,6,296.8,0,1,2,28,0,1,1,41.65,1429,solo-fpp,94,0,0.0,0,0.0,0,0,2145.0,4,0,0.957
3194140,0,2,197.9,2,0,1,10,1486,3,3,114.0,1423,squad-fpp,28,1,0.0,0,0.0,0,0,2069.0,5,1541,0.6296
2126200,0,0,69.09,0,0,0,65,1000,0,0,0.0,1963,duo,46,0,0.0,0,0.0,0,0,116.1,1,1500,0.3333
2774592,0,0,0.0,0,0,0,71,1488,0,0,0.0,1787,squad-fpp,27,0,0.0,0,0.0,0,0,735.1,2,1571,0.3077
1499928,0,1,124.7,0,0,4,60,1484,0,0,0.0,1950,squad-fpp,29,0,0.0,0,0.0,0,0,597.6,4,1535,0.4286
3294157,0,0,100.0,0,0,0,45,1064,1,1,27.07,1409,solo-fpp,99,0,0.0,0,0.0,0,0,169.0,1,1509,0.2449
870202,2,2,189.9,0,0,2,23,1315,1,1,84.89,1415,squad,28,0,0.0,0,0.0,0,0,2013.0,5,1571,0.9259
4010324,0,2,123.2,1,0,0,28,1289,1,1,25.87,1444,squad,25,0,61.57,0,0.0,0,0,3370.0,6,1474,0.6667
2775333,0,0,161.1,1,2,0,20,0,2,2,13.86,1346,squad-fpp,26,0,0.0,0,0.0,0,0,1520.0,6,0,0.6
1174918,0,0,171.0,1,2,0,17,1181,2,1,78.78,1357,duo-fpp,50,0,0.0,0,0.0,0,0,1496.0,4,1521,0.6735
4104935,0,2,164.0,0,0,4,25,0,1,1,1.673,2010,solo-fpp,95,0,2276.0,0,0.0,0,0,968.1,2,0,0.7021
1209736,0,5,523.0,2,1,2,7,0,3,2,102.8,1381,duo-fpp,48,0,0.0,0,0.0,0,0,2757.0,4,0,0.9574
2525533,0,0,200.0,2,0,0,42,0,1,1,8.3,1456,duo-fpp,49,0,0.0,0,0.0,0,0,27.0,1,0,0.0208
3399912,0,0,172.0,1,0,0,74,0,0,0,0.0,1395,duo-fpp,45,0,0.0,0,0.0,0,0,157.3,2,0,0.1364
1670855,0,4,614.1,4,1,0,4,0,5,2,50.2,1904,squad,29,0,6497.0,0,24.01,0,0,2419.0,7,0,0.4643
2325491,1,3,234.2,2,0,1,19,1452,1,1,101.1,1767,squad,27,0,6742.0,0,0.0,0,0,2600.0,8,1542,1.0
407047,0,6,359.3,0,1,5,7,0,3,2,52.6,1432,solo-fpp,90,0,614.4,0,0.0,0,0,1433.0,5,0,0.8764
989835,0,1,20.09,0,0,1,51,1000,0,0,0.0,1331,squad-fpp,29,1,0.0,0,7.056,0,0,1713.0,4,1500,0.6786
1352997,1,4,97.79,0,0,2,47,0,0,0,0.0,1363,squad,27,0,569.2,0,4.424,0,0,2928.0,4,0,0.8077
3184269,1,4,229.9,0,0,2,23,0,1,1,153.0,1830,duo-fpp,43,0,4343.0,0,0.0,0,0,2733.0,4,0,0.9286
2961360,1,0,251.6,3,1,0,8,0,3,1,92.42,1363,squad-fpp,33,0,0.0,0,0.0,0,0,254.4,2,0,0.6875
3501471,0,0,63.82,0,0,0,70,0,0,0,0.0,1778,squad-fpp,27,0,0.0,0,0.0,0,0,608.3,3,0,0.2692
3630893,2,3,224.0,1,0,2,19,1538,1,1,3.335,1360,squad-fpp,30,1,0.0,0,0.0,0,0,2733.0,6,1542,0.9655
2845224,0,0,40.64,0,0,0,60,0,0,0,0.0,1469,duo,47,0,0.0,0,0.0,0,0,167.3,4,0,0.3478
648389,0,0,123.6,1,1,1,17,0,2,1,32.13,1301,squad-fpp,26,2,0.0,0,0.0,0,0,506.6,4,0,0.44
2632458,0,0,54.96,0,0,0,72,1161,0,0,0.0,1954,squad-fpp,26,0,0.0,0,0.0,0,0,780.1,2,1501,0.24
3820467,1,2,99.6,0,0,2,56,0,0,0,0.0,1303,duo-fpp,47,0,13.43,0,0.0,0,0,2043.0,7,0,0.5217
408858,0,4,1126.0,8,4,8,1,0,8,2,59.72,1837,squad-fpp,31,0,1793.0,0,0.0,0,0,2946.0,5,0,0.8667
1166748,1,4,283.7,1,0,3,16,0,2,2,6.235,1772,squad-fpp,28,0,3539.0,0,0.0,0,0,2560.0,8,0,0.6667
1029285,0,0,103.0,0,0,0,30,0,1,1,17.1,1440,solo-fpp,96,0,0.0,0,0.0,0,0,1288.0,5,0,0.7158
3260050,0,0,61.63,1,0,0,35,1255,1,1,7.192,1382,squad-fpp,27,0,0.0,0,0.0,0,0,1346.0,6,1427,0.4231
2896852,0,0,0.0,0,0,0,48,0,0,0,0.0,907,crashfpp,31,0,2366.0,0,0.0,0,0,4.986,0,0,0.1667
528363,1,1,303.9,1,1,2,7,1244,3,1,136.5,1295,squad-fpp,26,0,0.0,0,0.0,0,0,2487.0,5,1438,0.92
693892,3,4,521.4,2,0,8,8,0,3,2,77.0,1344,squad-fpp,28,1,317.0,0,57.86,0,0,2563.0,8,0,1.0
800365,0,0,0.0,0,0,0,87,0,0,0,0.0,1352,solo-fpp,93,0,0.0,0,0.0,0,0,15.27,1,0,0.087
2710904,0,0,87.72,0,0,0,41,0,0,0,0.0,1352,squad-fpp,28,0,0.0,0,0.0,0,0,230.9,7,0,1.0
965174,0,0,0.0,0,0,0,53,0,0,0,0.0,1263,squad,27,0,0.0,0,0.0,0,0,1119.0,1,0,0.5769
3855771,0,0,143.1,1,1,0,41,0,1,1,4.804,1982,duo,47,0,0.0,0,0.0,0,0,74.46,1,0,0.087
2107795,0,0,0.0,0,0,0,95,0,0,0,0.0,1384,duo-fpp,50,0,0.0,0,0.0,0,0,1.169,1,0,0.0204
2041632,0,0,81.9,0,0,0,66,1188,0,0,0.0,1308,squad,29,0,0.0,0,0.0,0,0,488.2,3,1483,0.2857
2445475,0,0,0.0,0,0,0,70,1078,0,0,0.0,1368,duo-fpp,48,0,0.0,0,0.0,0,0,237.1,1,1497,0.2979
483790,0,0,0.0,0,0,0,83,0,0,0,0.0,1268,squad-fpp,29,0,0.0,0,0.0,0,0,4.52,1,0,0.1429
416912,0,11,1454.0,5,2,4,1,0,9,2,277.4,1761,duo-fpp,47,1,2816.0,0,0.0,0,0,2386.0,4,0,1.0
2038337,0,1,203.4,2,1,0,30,0,1,1,11.98,1248,squad-fpp,27,0,0.0,0,0.0,0,0,1805.0,4,0,0.4615
959299,0,1,0.0,0,0,0,61,1388,0,0,0.0,1280,squad-fpp,28,0,0.0,0,0.0,0,0,654.1,2,1526,0.5185
1988560,0,0,222.3,2,0,0,18,1537,2,1,130.9,1841,squad-fpp,30,1,2002.0,0,0.0,0,0,1878.0,5,1517,0.4483
4253419,0,8,496.0,0,2,3,4,0,5,2,48.77,1373,solo-fpp,94,0,0.0,0,70.34,0,0,1711.0,6,0,0.9677
2790852,1,3,81.1,0,0,4,27,1621,1,1,16.71,1395,squad,30,2,0.0,0,82.43,0,0,3676.0,5,1754,0.931
664772,0,3,402.3,0,0,3,18,1028,2,1,54.71,1894,solo-fpp,95,0,0.0,0,0.0,0,0,598.9,3,1499,0.6277
2238256,1,1,485.6,4,1,8,10,1368,3,1,53.93,1878,squad,27,1,3933.0,0,0.0,0,0,820.0,3,1560,0.2692
3374507,1,0,0.0,0,0,0,65,1159,0,0,0.0,1444,duo-fpp,50,0,0.0,0,0.0,0,0,341.2,3,1521,0.449
749815,1,0,315.3,2,0,0,14,0,2,1,41.45,1881,duo,48,0,701.4,0,0.0,0,0,1776.0,6,0,0.8723
151424,2,4,167.6,0,0,7,43,0,0,0,0.0,1450,squad-fpp,29,1,0.0,0,125.5,0,0,2410.0,4,0,0.8571
1338636,0,0,0.0,0,0,0,71,1286,0,0,0.0,1344,duo-fpp,48,0,0.0,0,0.0,0,0,371.3,2,1480,0.2979
3529157,0,0,0.0,0,0,0,85,0,0,0,0.0,2016,duo,49,0,0.0,0,0.0,0,0,27.93,4,0,0.0833
1425791,0,0,54.21,0,0,0,65,0,0,0,0.0,1941,solo-fpp,97,0,0.0,0,0.0,0,0,494.2,4,0,0.4375
2990733,0,0,28.08,0,0,0,66,1494,0,0,0.0,1879,duo-fpp,48,0,0.0,0,0.0,0,0,745.2,3,1611,0.383
3827853,0,0,0.0,0,0,0,96,0,0,0,0.0,1377,squad,27,0,0.0,0,0.0,0,0,15.23,1,0,0.0385
3250034,1,0,234.5,1,0,0,30,0,1,1,18.01,1763,duo-fpp,48,0,0.0,0,0.0,0,0,1233.0,6,0,0.4468
2084812,0,1,65.18,0,1,1,38,1262,1,1,45.55,1379,duo-fpp,49,0,0.0,0,0.0,0,0,585.0,4,1514,0.375
615403,0,2,281.8,1,0,3,20,1146,2,1,24.69,1358,duo-fpp,48,1,3.923,0,0.0,0,0,692.5,3,1476,0.6809
311876,0,2,240.0,1,0,1,27,1571,1,1,15.42,1961,squad-fpp,28,0,623.2,0,0.0,0,0,2596.0,5,1629,0.7407
4384467,0,1,0.0,0,0,1,69,0,0,0,0.0,1808,squad-fpp,28,0,0.0,0,0.0,0,0,566.9,3,0,0.3333
2746802,0,1,70.85,0,0,0,75,1216,0,0,0.0,1924,squad,29,0,0.0,0,0.0,0,0,1491.0,6,1539,0.25
3939184,2,0,294.5,0,0,0,29,0,1,1,5.754,1455,squad-fpp,30,1,118.4,0,0.0,0,0,1441.0,8,0,0.5517
4326651,0,1,100.0,1,0,2,63,0,0,0,0.0,1772,squad-fpp,28,0,888.2,0,0.0,0,0,416.8,3,0,0.4444
113015,0,2,387.8,1,0,2,10,0,3,2,110.3,1972,duo,48,0,30.66,0,0.0,0,0,2555.0,11,0,0.8511
2620271,0,2,239.4,0,2,2,12,0,2,1,96.88,1375,solo-fpp,95,0,0.0,0,0.0,0,0,2066.0,3,0,0.8723
425615,0,2,0.0,0,0,1,42,0,0,0,0.0,1814,squad-fpp,28,0,6501.0,0,0.0,0,0,836.6,4,0,0.7778
675184,0,3,245.5,0,0,18,26,1126,1,1,7.072,1391,duo-fpp,51,1,1096.0,0,0.0,0,0,2305.0,3,1491,0.88
4404555,0,0,0.0,0,0,0,60,0,0,0,0.0,1946,duo-fpp,45,0,0.0,0,0.0,0,0,762.3,7,0,0.3636
961033,1,2,490.6,3,0,4,8,0,3,1,254.4,1834,squad-fpp,28,0,3909.0,0,70.71,0,0,3239.0,6,0,1.0
491848,0,1,365.2,1,2,2,9,1185,3,2,35.09,1352,squad,29,0,0.0,0,0.0,0,0,1344.0,4,1445,0.75
4051704,0,0,0.0,0,0,0,71,0,0,0,0.0,1968,solo,94,0,0.0,0,0.0,0,0,97.81,6,0,0.2903
1443544,0,0,0.0,0,0,0,85,0,0,0,0.0,1386,squad-fpp,27,0,0.0,0,0.0,0,0,18.6,0,0,0.0769
3645038,0,1,0.0,0,0,0,67,1182,0,0,0.0,1943,solo-fpp,88,0,0.0,0,0.0,0,0,78.53,2,1474,0.2644
656703,0,0,0.0,0,0,0,80,1177,0,0,0.0,1331,solo-fpp,97,0,0.0,0,0.4941,0,0,0.0284,0,1531,0.2188
3222766,0,0,0.0,0,0,0,78,0,0,0,0.0,1774,squad,28,0,0.0,0,0.0,0,0,431.4,4,0,0.1481
1498492,1,0,100.0,1,0,5,37,0,1,1,1.649,1404,squad-fpp,27,0,0.0,0,0.0,0,0,264.6,2,0,0.1538
827281,1,0,25.3,0,0,0,70,1055,0,0,0.0,1851,duo-fpp,45,0,0.0,0,0.0,0,0,152.1,1,1452,0.25
3409190,1,7,529.0,2,0,6,6,1603,2,1,73.3,1864,squad,26,2,9317.0,0,68.72,0,0,2464.0,8,1586,0.96
3790938,2,0,0.0,0,0,0,56,0,0,0,0.0,1362,squad-fpp,27,0,0.0,0,0.0,0,0,2025.0,5,0,0.5
134976,1,4,348.8,1,0,0,26,1058,1,1,17.8,1413,squad,27,0,122.4,0,0.0,0,0,3066.0,5,1507,0.8846
4395858,0,0,39.0,0,0,0,93,1000,0,0,0.0,1309,duo-fpp,48,0,0.0,0,0.0,0,0,36.18,1,1500,0.0213
4370691,0,0,90.3,0,0,0,84,1451,0,0,0.0,1377,duo-fpp,49,0,0.0,0,0.0,0,0,39.67,1,1490,0.1667
312294,0,3,490.5,3,1,4,7,0,3,1,12.95,1897,squad-fpp,28,1,4296.0,0,0.0,0,0,2525.0,7,0,0.8889
1504871,0,3,0.0,0,0,0,56,1393,0,0,0.0,1370,duo,49,0,0.0,0,0.0,0,0,1590.0,6,1643,0.6875
2670492,0,0,129.4,1,0,0,39,0,1,1,8.013,1389,squad-fpp,31,0,0.0,0,0.0,0,0,515.0,2,0,0.3
3214596,0,0,100.0,1,1,5,31,0,1,1,4.613,1764,duo-fpp,46,0,0.0,0,0.0,0,0,138.3,3,0,0.1556
1318916,0,1,249.6,1,0,1,36,0,1,1,11.04,1360,squad-fpp,31,0,0.0,0,0.0,0,0,306.8,3,0,0.2333
3254987,0,0,0.0,0,0,0,52,0,0,0,0.0,1377,solo-fpp,92,0,0.0,0,0.0,0,0,710.3,4,0,0.5934
3635961,0,0,495.1,0,0,0,5,0,0,0,0.0,1808,solo,16,0,0.0,0,0.0,0,0,0.0,2,0,0.0
1734429,0,0,90.2,0,0,0,74,0,0,0,0.0,1840,duo-fpp,47,0,0.0,0,0.0,0,0,167.3,1,0,0.1739
671739,0,0,0.0,0,0,0,84,266,0,0,0.0,2018,duo,48,0,0.0,0,0.0,0,0,0.0,0,446,0.0
4300434,1,5,307.1,2,2,4,5,0,4,2,83.42,1374,squad-fpp,29,3,0.0,0,0.0,0,0,2474.0,8,0,0.75
2759612,0,3,76.38,2,1,1,19,0,2,1,49.64,1286,squad,26,0,0.0,0,0.0,0,0,1193.0,4,0,0.44
935996,0,1,0.0,0,0,0,52,0,0,0,0.0,1369,solo-fpp,98,0,904.9,0,0.0,0,0,1624.0,3,0,0.732
1944146,0,3,119.3,0,1,1,29,1077,1,1,50.11,1480,solo-fpp,97,0,472.6,0,0.0,0,0,1325.0,3,1499,0.6875
2631161,0,0,0.0,0,0,0,94,0,0,0,0.0,2029,squad,28,0,0.0,0,0.0,0,0,0.0,0,0,0.0
168594,1,0,159.5,1,0,0,80,0,0,0,0.0,1431,squad,28,0,0.0,0,0.0,0,0,336.5,3,0,0.2222
4086133,0,0,0.0,0,0,1,64,0,0,0,0.0,1394,squad-fpp,27,0,0.0,0,0.0,0,0,393.4,3,0,0.3077
2642931,0,0,0.0,0,0,0,64,0,0,0,0.0,1894,duo,48,0,6382.0,0,0.0,0,0,504.0,0,0,0.4043
3403765,1,0,106.6,0,0,0,78,0,0,0,0.0,1200,duo-fpp,50,0,0.0,0,0.0,0,0,112.3,1,0,0.2449
3281310,0,0,22.8,0,0,0,87,0,0,0,0.0,1776,squad,28,0,0.0,0,0.0,0,0,48.08,0,0,0.0
1525680,0,0,0.0,0,0,0,61,0,0,0,0.0,1374,solo,93,0,0.0,0,0.0,0,0,180.7,4,0,0.3913
2809579,0,0,123.2,1,0,1,32,0,1,1,21.91,1299,squad-fpp,26,0,0.0,0,0.0,0,0,360.2,2,0,0.24
4315096,0,0,0.0,0,0,0,95,1402,0,0,0.0,1316,squad-fpp,31,0,0.0,0,0.0,0,0,0.0,0,1497,0.0
4030163,0,0,175.0,1,0,0,38,1264,1,1,8.989,1396,squad-fpp,29,1,0.0,0,0.0,0,0,395.3,3,1446,0.3929
3953509,0,1,0.0,0,0,1,70,0,0,0,0.0,1720,squad-fpp,30,1,0.0,0,0.0,0,0,370.3,3,0,0.2414
363173,1,2,435.7,2,0,3,10,1267,2,1,20.45,1792,duo-fpp,47,2,6306.0,0,0.0,0,0,2202.0,14,1517,0.9348
2713858,1,1,329.8,1,3,3,1,0,5,2,77.41,1383,duo-fpp,46,0,0.0,0,0.0,0,0,2599.0,6,0,0.9778
2409930,0,0,100.2,0,0,0,59,1305,0,0,0.0,1837,squad-fpp,28,0,2259.0,0,0.0,0,0,2883.0,5,1502,0.5556
2106401,0,2,0.0,0,0,5,68,1200,0,0,0.0,1896,squad,26,0,0.0,0,0.0,0,0,1349.0,5,1547,0.28
3213777,0,4,125.7,1,0,5,42,1263,0,0,0.0,1773,squad,28,0,6197.0,0,0.0,0,1,1933.0,4,1526,0.8519
3704979,2,0,254.2,1,0,6,20,0,2,1,25.29,1407,duo,48,0,0.0,0,0.0,0,0,948.9,4,0,0.5319
2997741,0,0,0.0,0,0,0,82,1141,0,0,0.0,1885,squad,27,0,0.0,0,0.0,0,0,7.376,0,1499,0.1538
1806527,0,1,0.0,0,0,0,61,0,0,0,0.0,1445,duo,48,0,0.0,0,0.0,0,0,679.4,3,0,0.5106
3266651,0,1,234.9,0,1,1,9,0,3,2,17.13,1530,solo,96,0,0.0,0,0.0,0,0,270.5,2,0,0.4211
2309913,0,0,125.8,1,0,0,80,1429,0,0,0.0,1361,squad-fpp,29,1,0.0,0,0.0,0,0,108.5,2,1510,0.1786
150006,0,2,59.3,0,0,5,47,1142,0,0,0.0,1347,squad,24,1,0.0,0,0.0,0,0,1486.0,3,1424,0.5217
2873683,0,1,181.3,1,0,0,44,1488,1,1,1.921,1879,squad-fpp,30,0,0.0,0,0.0,0,0,113.4,3,1497,0.1034
4119024,2,3,220.1,1,0,2,60,1240,0,0,0.0,1867,squad-fpp,28,1,0.0,0,0.0,1,0,705.4,4,1448,0.2963
2918877,1,0,140.4,1,0,0,54,1289,0,0,0.0,1264,squad-fpp,28,0,0.0,0,0.0,0,0,1650.0,3,1518,0.7778
1315032,0,1,0.0,0,0,5,51,0,0,0,0.0,1909,squad-fpp,31,0,3618.0,0,207.6,0,0,2712.0,3,0,0.7333
3661001,2,2,91.2,0,1,0,12,1394,2,1,41.72,1358,squad-fpp,28,1,0.0,0,0.0,0,0,2479.0,9,1502,1.0
1089370,0,0,165.1,0,1,0,41,0,1,1,7.393,1759,squad-fpp,29,2,0.0,0,0.0,0,0,225.7,3,0,0.25
3339717,0,0,0.0,0,0,0,87,0,0,0,0.0,1476,squad-fpp,28,0,0.0,0,0.0,0,0,21.11,1,0,0.0
